Question,Entity-Type
How does the art piece "Periodic Table Portraits" artistically interpret each element's role and properties in the context of inorganic chemistry?,WORK_OF_ART
Which concepts from solid-state chemistry are illustrated through the installation "Solid State Symphony"?,WORK_OF_ART
What message about inorganic compounds does the mixed media artwork "The Elements of Transformation" convey?,WORK_OF_ART
What is the melting point of sodium chloride?,QUANTITY
Which law states that equal volumes of gases at the same temperature and pressure contain equal numbers of molecules?,LAW
How many valence electrons does an atom of sulfur have in its outer shell?,CARDINAL
When was the periodic table first published by Dmitri Mendeleev?,DATE
What event marked the discovery of noble gases in the atmosphere?,EVENT
Where is the headquarters of the International Union of Pure and Applied Chemistry (IUPAC) located?,LOC
What is the GPE associated with the development of the modern periodic table?,GPE
Which language is predominantly used for naming chemical elements in scientific literature?,LANGUAGE
How much does a mole of water weigh approximately?,QUANTITY
Can you name an organization that sets standards for chemical nomenclature and terminology?,ORG
What percentage of the Earth's crust is composed of oxygen by mass?,PERCENT
Who first proposed the concept of chemical bonding as we understand it today?,PERSON
Which product is formed when sodium reacts with chlorine gas?,PRODUCT
How long does a typical laboratory experiment on inorganic synthesis take to complete?,TIME
What facility would you use to measure the atomic radius of elements accurately?,FAC
At what temperature does water boil under standard atmospheric pressure?,QUANTITY
Which non-governmental organization (NORP) plays a significant role in chemistry education worldwide?,NORP
How much money was awarded for the Nobel Prize in Chemistry in 2020?,MONEY
What is the name of the process used to extract aluminum from bauxite ore?,WORK_OF_ART
Which time period saw the rise of modern inorganic synthesis techniques?,TIME
